function,algo_a,algo_b,p_value,significant,better
Sphere,PSO,DE,7.936508e-03,True,a
Sphere,PSO,GWO,7.936508e-03,True,a
Sphere,DE,GWO,7.936508e-03,True,a
Rosenbrock,PSO,DE,1.507937e-01,False,a
Rosenbrock,PSO,GWO,7.936508e-03,True,a
Rosenbrock,DE,GWO,7.936508e-03,True,a
Rastrigin,PSO,DE,7.936508e-03,True,a
Rastrigin,PSO,GWO,6.904762e-01,False,a
Rastrigin,DE,GWO,9.523810e-02,False,tie
Ackley,PSO,DE,7.936508e-03,True,tie
Ackley,PSO,GWO,7.936508e-03,True,a
Ackley,DE,GWO,7.936508e-03,True,a
Griewank,PSO,DE,1.000000e+00,False,a
Griewank,PSO,GWO,7.936508e-03,True,a
Griewank,DE,GWO,7.936508e-03,True,a
Schwefel,PSO,DE,3.095238e-01,False,a
Schwefel,PSO,GWO,3.095238e-01,False,a
Schwefel,DE,GWO,4.206349e-01,False,a
